,,,-252.95999646E-3,13.1737506E-3,,,,,-252.95999646E-3,1.0075002E-3,
,,,-252.92000175E-3,13.0967200E-3,,,,,-252.92000175E-3,1.0081253E-3,
,,,-252.88000703E-3,13.0529692E-3,,,,,-252.88000703E-3,974.375172518E-6,
,,,-252.84001231E-3,12.9389074E-3,,,,,-252.84001231E-3,969.375192653E-6,
,,,-252.79998779E-3,12.9150013E-3,,,,,-252.79998779E-3,961.875193752E-6,
,,,-252.75999308E-3,12.8785949E-3,,,,,-252.75999308E-3,930.625188630E-6,
,,,-252.71999836E-3,12.7995322E-3,,,,,-252.71999836E-3,888.437731192E-6,
,,,-252.68000364E-3,12.7675012E-3,,,,,-252.68000364E-3,852.500204928E-6,
,,,-252.64000893E-3,12.6939071E-3,,,,,-252.64000893E-3,806.250202004E-6,
,,,-252.59998441E-3,12.6548447E-3,,,,,-252.59998441E-3,765.937729739E-6,
,,,-252.55998969E-3,12.6106255E-3,,,,,-252.55998969E-3,708.125182427E-6,
,,,-252.51999497E-3,12.5314072E-3,,,,,-252.51999497E-3,650.937727187E-6,
,,,-252.48000026E-3,12.4801574E-3,,,,,-252.48000026E-3,572.812685277E-6,
,,,-252.44000554E-3,12.4021880E-3,,,,,-252.44000554E-3,524.062721524E-6,
,,,-252.40001082E-3,12.3642199E-3,,,,,-252.40001082E-3,485.625205329E-6,
,,,-252.35998631E-3,12.3220319E-3,,,,,-252.35998631E-3,418.750219978E-6,
,,,-252.31999159E-3,12.2339074E-3,,,,,-252.31999159E-3,364.06272557E-6,
,,,-252.27999687E-3,12.2271879E-3,,,,,-252.27999687E-3,291.87521432E-6,
,,,-252.24000216E-3,12.1782823E-3,,,,,-252.24000216E-3,204.68771982E-6,
,,,-252.20000744E-3,12.1643757E-3,,,,,-252.20000744E-3,126.5627216E-6,
,,,-252.16001272E-3,12.1015636E-3,,,,,-252.16001272E-3,45.62522372E-6,
,,,-252.11998820E-3,12.0215630E-3,,,,,-252.11998820E-3,-16.8747738E-6,
,,,-252.07999349E-3,11.9929696E-3,,,,,-252.07999349E-3,-108.1247683E-6,
,,,-252.03999877E-3,11.9295325E-3,,,,,-252.03999877E-3,-186.24977383E-6,
,,,-252.00000405E-3,11.9014075E-3,,,,,-252.00000405E-3,-289.68727565E-6,
,,,-251.96000934E-3,11.8632820E-3,,,,,-251.96000934E-3,-342.81227272E-6,
,,,-251.91998482E-3,11.8479691E-3,,,,,-251.91998482E-3,-450.312276371E-6,
,,,-251.87999010E-3,11.8281255E-3,,,,,-251.87999010E-3,-559.062231332E-6,
,,,-251.83999538E-3,11.7989071E-3,,,,,-251.83999538E-3,-649.062276352E-6,
,,,-251.80000067E-3,11.7621887E-3,,,,,-251.80000067E-3,-708.749750629E-6,
,,,-251.76000595E-3,11.7834387E-3,,,,,-251.76000595E-3,-771.562277805E-6,
,,,-251.72001123E-3,11.7750010E-3,,,,,-251.72001123E-3,-864.374742378E-6,
,,,-251.67998672E-3,11.7615629E-3,,,,,-251.67998672E-3,-969.374726992E-6,
,,,-251.63999200E-3,11.7312511E-3,,,,,-251.63999200E-3,-1.0462498E-3,
,,,-251.59999728E-3,11.7342193E-3,,,,,-251.59999728E-3,-1.1146873E-3,
,,,-251.56000257E-3,11.7384382E-3,,,,,-251.56000257E-3,-1.2012498E-3,
,,,-251.52000785E-3,11.7996885E-3,,,,,-251.52000785E-3,-1.2449997E-3,
,,,-251.48001313E-3,11.7725004E-3,,,,,-251.48001313E-3,-1.3062498E-3,
,,,-251.43998861E-3,11.7510948E-3,,,,,-251.43998861E-3,-1.3699997E-3,
,,,-251.39999390E-3,11.7579699E-3,,,,,-251.39999390E-3,-1.4131247E-3,
,,,-251.35999918E-3,11.8528130E-3,,,,,-251.35999918E-3,-1.4199998E-3,
