,,,-36.10800207E-3,134.1643780E-3,,,,,-36.10800207E-3,63.164070249E-3,
,,,-36.10400110E-3,134.0581328E-3,,,,,-36.10400110E-3,63.062503934E-3,
,,,-36.10000014E-3,134.1237575E-3,,,,,-36.10000014E-3,63.156254590E-3,
,,,-36.09600291E-3,134.1362596E-3,,,,,-36.09600291E-3,63.101567328E-3,
,,,-36.09200194E-3,134.0425014E-3,,,,,-36.09200194E-3,63.015632331E-3,
,,,-36.08800098E-3,134.0471953E-3,,,,,-36.08800098E-3,63.062503934E-3,
,,,-36.08400002E-3,134.0096891E-3,,,,,-36.08400002E-3,63.101567328E-3,
,,,-36.08000278E-3,134.0003163E-3,,,,,-36.08000278E-3,63.093751669E-3,
,,,-36.07600182E-3,134.1065764E-3,,,,,-36.07600182E-3,63.054695725E-3,
,,,-36.07200086E-3,134.0300143E-3,,,,,-36.07200086E-3,63.039064407E-3,
,,,-36.06799990E-3,133.9690685E-3,,,,,-36.06799990E-3,62.992192805E-3,
,,,-36.06400266E-3,134.1237575E-3,,,,,-36.06400266E-3,63.015632331E-3,
,,,-36.06000170E-3,134.0581328E-3,,,,,-36.06000170E-3,63.015632331E-3,
,,,-36.05600074E-3,133.9518875E-3,,,,,-36.05600074E-3,62.960945070E-3,
,,,-36.05199978E-3,133.9768767E-3,,,,,-36.05199978E-3,63.062503934E-3,
,,,-36.04800254E-3,133.9284480E-3,,,,,-36.04800254E-3,62.937505543E-3,
,,,-36.04400158E-3,133.9393854E-3,,,,,-36.04400158E-3,63.023440540E-3,
,,,-36.04000062E-3,134.0409517E-3,,,,,-36.04000062E-3,63.195317984E-3,
,,,-36.03599966E-3,133.9565665E-3,,,,,-36.03599966E-3,63.023440540E-3,
,,,-36.03200242E-3,133.9643896E-3,,,,,-36.03200242E-3,63.015632331E-3,
,,,-36.02800146E-3,134.0018809E-3,,,,,-36.02800146E-3,62.992192805E-3,
,,,-36.02400050E-3,133.9362562E-3,,,,,-36.02400050E-3,63.054695725E-3,
,,,-36.01999953E-3,134.0878159E-3,,,,,-36.01999953E-3,62.953129411E-3,
,,,-36.01600230E-3,133.9050084E-3,,,,,-36.01600230E-3,63.015632331E-3,
,,,-36.01200134E-3,133.9737624E-3,,,,,-36.01200134E-3,63.039064407E-3,
,,,-36.00800037E-3,133.8925064E-3,,,,,-36.00800037E-3,63.054695725E-3,
,,,-36.00399941E-3,133.9003146E-3,,,,,-36.00399941E-3,62.960945070E-3,
,,,-36.00000218E-3,133.8800043E-3,,,,,-36.00000218E-3,63.000008464E-3,
,,,-35.99600121E-3,133.8987648E-3,,,,,-35.99600121E-3,62.992192805E-3,
,,,-35.99200025E-3,134.0018809E-3,,,,,-35.99200025E-3,62.992192805E-3,
,,,-35.98799929E-3,133.8034421E-3,,,,,-35.98799929E-3,62.976568937E-3,
,,,-35.98400205E-3,133.8831335E-3,,,,,-35.98400205E-3,63.000008464E-3,
,,,-35.98000109E-3,133.9159459E-3,,,,,-35.98000109E-3,62.953129411E-3,
,,,-35.97600013E-3,134.0175122E-3,,,,,-35.97600013E-3,63.117191195E-3,
